colorNum,title,subtitle,category,fullPrice,currentPrice,TopColor,short_description,rating,Sustainable,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,subcategory,color-just_in,color-sold_out,color-coming_soon,channel_SNKRS,channel_nikeApp
1,Nike SuperRep Cycle,Women's Indoor Cycling Shoes,cycling,120,58.97,Black/Anthracite/Habanero Red/Phantom,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast-pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",4.3,False,Black/Anthracite/Habanero Red/Phantom,120.0,58.97,True,False,True,False,False,woman,False,False,False,False,True
2,Nike SuperRep Cycle,Women's Indoor Cycling Shoes,cycling,120,58.97,Black/Anthracite/Habanero Red/Phantom,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast-pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",4.3,False,Archaeo Pink/Metallic Mahogany/Dark Beetroot/Light Soft Pink,120.0,84.97,True,False,True,False,False,woman,False,False,False,False,True
3,Nike SuperRep Cycle,Women's Indoor Cycling Shoes,cycling,120,58.97,Black/Anthracite/Habanero Red/Phantom,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast-pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",4.3,False,White/Black,120.0,84.97,True,False,True,False,False,woman,False,False,False,False,True
4,Nike SuperRep Cycle,Women's Indoor Cycling Shoes,cycling,120,58.97,Black/Anthracite/Habanero Red/Phantom,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast-pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",4.3,False,Black/Hyper Crimson/Metallic Silver,120.0,58.97,True,False,True,False,False,woman,False,False,False,False,True
5,Nike SuperRep Cycle,Women's Indoor Cycling Shoes,cycling,120,58.97,Black/Anthracite/Habanero Red/Phantom,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast-pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",4.3,False,White/Black/Chutney/Volt,120.0,72.97,True,False,True,False,False,woman,False,False,False,False,True
6,Nike SuperRep Cycle,Women's Indoor Cycling Shoes,cycling,120,58.97,Black/Anthracite/Habanero Red/Phantom,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast-pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",4.3,False,Green Glow/Infinite Lilac/Laser Orange/Dark Smoke Grey,120.0,58.97,True,False,True,False,False,woman,False,False,False,False,True
1,Nike SuperRep Cycle 2 Next Nature,Women's Indoor Cycling Shoes,cycling,120,96.97,Black/Volt/Anthracite/White,"Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",0.0,True,Black/Volt/Anthracite/White,120.0,96.97,True,False,True,False,False,woman,False,False,False,False,True
2,Nike SuperRep Cycle 2 Next Nature,Women's Indoor Cycling Shoes,cycling,120,96.97,Black/Volt/Anthracite/White,"Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",0.0,True,Crimson Bliss/Total Orange/Pearl White,120.0,71.97,True,False,True,False,False,woman,False,False,False,False,True
3,Nike SuperRep Cycle 2 Next Nature,Women's Indoor Cycling Shoes,cycling,120,96.97,Black/Volt/Anthracite/White,"Designed to be more breathable than its predecessor, the Nike SuperRep Cycle 2 Next Nature lets you work towards your next PR during high-heat, fast-paced indoor cycling. An improved adjustable strap helps secure your feet during intense movement.",0.0,True,White/Mint Foam/Laser Blue/Black,120.0,96.97,True,False,True,False,False,woman,False,False,False,False,True
1,Jordan 11,Crib Booties,jordan,60,60.0,Midnight Navy/White/Metallic Silver,"Finally, a shoe worthy of your little legend! These soft crib booties have a lightweight and flexible design that's lace-free, making them extra easy to put on and take off.",0.0,False,Midnight Navy/White/Metallic Silver,60.0,60.0,False,True,True,False,False,baby,False,False,False,True,False
1,Air Jordan XXXVII,Men's Basketball Shoes,jordan,185,185.0,Black/Club Purple/Dark Charcoal/True Red,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about takeoffs and landings, with multiple Air units to get you off the ground and our signature Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised.",4.9,False,Black/Club Purple/Dark Charcoal/True Red,185.0,185.0,False,False,False,False,True,man,False,False,True,False,True
2,Air Jordan XXXVII,Men's Basketball Shoes,jordan,185,185.0,Black/Club Purple/Dark Charcoal/True Red,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about takeoffs and landings, with multiple Air units to get you off the ground and our signature Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised.",4.9,False,White/Light Silver/Black/True Red,185.0,185.0,False,False,True,False,False,man,False,False,False,False,True
3,Air Jordan XXXVII,Men's Basketball Shoes,jordan,185,185.0,Black/Club Purple/Dark Charcoal/True Red,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about takeoffs and landings, with multiple Air units to get you off the ground and our signature Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised.",4.9,False,Light Bone/Black/Dark Concord/Fire Red,185.0,185.0,False,False,True,False,False,man,False,False,False,False,True
4,Air Jordan XXXVII,Men's Basketball Shoes,jordan,185,185.0,Black/Club Purple/Dark Charcoal/True Red,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about takeoffs and landings, with multiple Air units to get you off the ground and our signature Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised.",4.9,False,White/Citrus/Black,185.0,185.0,False,False,True,False,False,man,False,False,False,False,True
1,Air Jordan 1 Mid,Shoes,jordan,120,120.0,Gym Red/White/Black,"Inspired by the original AJ1, the Air Jordan 1 Mid offers fans a chance to follow in MJ's footsteps. Fresh color trims the clean, classic materials, imbuing modernity into a classic design.",4.9,False,Gym Red/White/Black,120.0,120.0,False,True,True,False,False,unknown,False,False,False,False,True
